"DEPARTAMENTO","LOCALIDAD"
"Maldonado","Ruta 37"
"Flores","Barrio Union"
"San José","Ruta 45 Villa Rodrigues"
"Río Negro","Zorrilla 1230 (Fray Ventos)"
"Canelones","Ciudada de la costa"
"Canelones","Calle 1 (Atalntida)"
"Maldonado","Plaza San Fernando"
"Rivera"," calle juan acosta esquina santiago nievas"
"Maldonado","Americas Unidas Esq. Burriqueta"
"Treinta y Tres","Ruta 8 || VILLA_SARA"
"Durazno","Lago sitio"
"Colonia","camino a punta piedra el final del camino a la playa"
"Canelones","Villa Arejo"
"Florida","Pasaje Santa Teresa"
"Treinta y Tres","RUTA 8 - BRIG. GRAL. JUAN A. Lavalleja"
"San José","Capurro"
"Rivera","Caminoo Billico"
"Tacuarembó","Av. Coronel Gorgonio Aguiar 2716"
"Florida","Calle 60 Ruta 5"
"San José","Boreal- Esperanza"
"Colonia","Gral. Flores a una cuadra de AXION y Petrobras"
"Canelones","guarme domingo galo Mz H Solar 52"
"Tacuarembó","calle 103, 1km Panadería AyE Vivienda mevir 3 en calle 103 penúltima vivienda rosada"
"Durazno","Lavalleja"
"Colonia","Gral Flores 699 Local a la vista con vidrieria"
"San José","Camino San Pedro"
"Rocha","balneario Costa Azul"
"Paysandú","Río Negro 2376 apart. verde"
"Tacuarembó","Dr. Luis Alberto de Herrera 128"
"Soriano","Ruta 21 km. 318500"
"San José","Paso de Panta"
"Salto","Maroña casi esq Av. Concordia"
"Lavalleja","Cno. a la Mina del Manganeso"
"San José","Ruta 1 km 96"
"Florida","Punta la Coronilla"
"Lavalleja","Arroyo Casupá cchico"
"N/A - (No aplica)","No tenemos dirección"
"Canelones","ruta 82, 44.1, camino Alvarez"
"Lavalleja","Arroyo Casupá Chico"
"Canelones","Guazú-virá"
"Rivera","Arroyo Sauzales"
"Salto","República Argentina 1555"
"Paysandú","Exodo Entre Vizconde de Maua y Cerrito"
"Paysandú","Rio Queguay Grande"
"Rocha","Rio Cebollatí"
"Treinta y Tres","quebrada de los cuervos"
"Lavalleja","Limite entre Lavalleja y Maldonado"
"Maldonado","Abra de Castellano - Sierras de las Ánimas"
"Florida","Rio Santa Lucia"
"N/A - (No aplica)","sin información"
"N/A - (No aplica)","sin datos"
"Rocha","costa azul"
"Colonia","granja san jose"
"Lavalleja","mariscal"
"Canelones","salinas"
"Canelones","arroyo sarandi"
"Maldonado","punta del diablo"
"Soriano","soriano"
"Lavalleja","4053 - 4058"
"Río Negro","rio negro"
"Cerro Largo","cerro largo"
"Canelones","prado"
"Rocha","lescano"
"Maldonado","N/A"
"Canelones","sofia soria"
"N/A - (No aplica)","N/A"
"paysandú","Progreso"
"Maldonado","santa monica"
"N/A - (No aplica)","n/a"
"Rocha","la aguada"
"Canelones","pedrera"
"Canelones","balneario argentino"
